id,screen_name,created_at,fav,rt,RTed,text,media1,media2,media3,media4,compound,neg,neu,pos
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1677146702984392704"", ""1677146702984392704"")",TheMorningLK,2023-07-07 02:45:08,0,0,,https://t.co/tuCR97dbfv,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1677146633526743044"", ""1677146633526743044"")",TheMorningLK,2023-07-07 02:44:51,0,0,,https://t.co/DnZRLFXfES,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1677146458833977349"", ""1677146458833977349"")",TheMorningLK,2023-07-07 02:44:10,0,0,,https://t.co/thvJljuNh5,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1677146349664600068"", ""1677146349664600068"")",TheMorningLK,2023-07-07 02:43:44,1,0,,https://t.co/P6pwuj6cfP,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1677146054033313792"", ""1677146054033313792"")",TheMorningLK,2023-07-07 02:42:33,1,0,,https://t.co/uZYWFZ5dlo,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676961058156838912"", ""1676961058156838912"")",TheMorningLK,2023-07-06 14:27:27,0,0,,https://t.co/4N9yKHDArj,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676939233196646404"", ""1676939233196646404"")",TheMorningLK,2023-07-06 13:00:43,0,0,,https://t.co/39cOsra9PS,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676911836783087617"", ""1676911836783087617"")",TheMorningLK,2023-07-06 11:11:52,1,0,,https://t.co/hs7a9mIQtU,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676898449302913024"", ""1676898449302913024"")",TheMorningLK,2023-07-06 10:18:40,0,0,,https://t.co/2Vxzj8mnDs,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676896790929633281"", ""1676896790929633281"")",TheMorningLK,2023-07-06 10:12:04,0,0,,https://t.co/AuKfbv1Cjb,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676879294495363078"", ""1676879294495363078"")",TheMorningLK,2023-07-06 09:02:33,0,0,,https://t.co/O3jbRd2IyG,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676866225778089984"", ""1676866225778089984"")",TheMorningLK,2023-07-06 08:10:37,0,0,,https://t.co/SgpEb94KZ7,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676857291168182272"", ""1676857291168182272"")",TheMorningLK,2023-07-06 07:35:07,0,0,,https://t.co/59qasSAcnS,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676833787240660992"", ""1676833787240660992"")",TheMorningLK,2023-07-06 06:01:43,0,0,,https://t.co/zyHpb8KzFM,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676824663346024448"", ""1676824663346024448"")",TheMorningLK,2023-07-06 05:25:28,0,0,,https://t.co/Xkg4GsAEfF,,,,,0.0,0.0,1.0,0.0
"=HYPERLINK(""http://www.twitter.com/nuswflt007/status/1676824586376318977"", ""1676824586376318977"")",TheMorningLK,2023-07-06 05:25:09,1,0,,https://t.co/WIWPzzhGXG,,,,,0.0,0.0,1.0,0.0
